trial_number,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
10,entropy,8,2,10,balanced,6,105,105,0.5777777777777777,0.3870967741935484,0.549407114624506,45
10,entropy,8,2,10,balanced,6,106,106,0.6666666666666666,0.5945945945945946,0.695436507936508,45
10,entropy,8,2,10,balanced,6,107,107,0.4222222222222222,0.48,0.4751984126984127,45
10,entropy,8,2,10,balanced,6,108,108,0.6666666666666666,0.6511627906976745,0.7737154150197628,45
11,entropy,8,5,7,balanced,6,1,1,0.6,0.625,0.616600790513834,45
11,entropy,8,5,7,balanced,6,2,2,0.8,0.7804878048780488,0.8359683794466404,45
11,entropy,8,5,7,balanced,6,3,3,0.35555555555555557,0.12121212121212122,0.38735177865612647,45
11,entropy,8,5,7,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
11,entropy,8,5,7,balanced,6,5,5,0.4,0.3076923076923077,0.40972222222222227,45
11,entropy,8,5,7,balanced,6,6,6,0.4666666666666667,0.2,0.4126984126984127,45
11,entropy,8,5,7,balanced,6,7,7,0.5777777777777777,0.6274509803921569,0.7598814229249011,45
11,entropy,8,5,7,balanced,6,8,8,0.5555555555555556,0.3333333333333333,0.6422924901185771,45
11,entropy,8,5,7,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5575396825396824,45
11,entropy,8,5,7,balanced,6,10,10,0.5777777777777777,0.5957446808510638,0.6468253968253969,45
11,entropy,8,5,7,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
11,entropy,8,5,7,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
11,entropy,8,5,7,balanced,6,13,13,0.7142857142857143,0.6666666666666666,0.7728758169934641,35
11,entropy,8,5,7,balanced,6,14,14,0.6222222222222222,0.6792452830188679,0.6156126482213439,45
11,entropy,8,5,7,balanced,6,15,15,0.7333333333333333,0.7857142857142857,0.8754940711462451,45
11,entropy,8,5,7,balanced,6,16,16,0.4888888888888889,0.14814814814814814,0.45849802371541504,45
11,entropy,8,5,7,balanced,6,17,17,0.42857142857142855,0.25,0.4681818181818182,42
11,entropy,8,5,7,balanced,6,18,18,0.5333333333333333,0.676923076923077,0.5237154150197628,45
11,entropy,8,5,7,balanced,6,19,19,0.5333333333333333,0.6181818181818182,0.6304347826086956,45
11,entropy,8,5,7,balanced,6,20,20,0.4888888888888889,0.6567164179104478,0.5,45
11,entropy,8,5,7,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572,45
11,entropy,8,5,7,balanced,6,22,22,0.5777777777777777,0.4864864864864865,0.6343873517786561,45
11,entropy,8,5,7,balanced,6,23,23,0.6590909090909091,0.6938775510204082,0.7241735537190083,44
11,entropy,8,5,7,balanced,6,24,24,0.4444444444444444,0.375,0.4415584415584416,18
11,entropy,8,5,7,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
11,entropy,8,5,7,balanced,6,26,26,0.4666666666666667,0.6363636363636364,0.5238095238095238,45
11,entropy,8,5,7,balanced,6,27,27,0.4444444444444444,0.5901639344262295,0.5444664031620554,45
11,entropy,8,5,7,balanced,6,28,28,0.4222222222222222,0.23529411764705882,0.4130434782608695,45
11,entropy,8,5,7,balanced,6,29,29,0.6444444444444445,0.6363636363636364,0.7262845849802372,45
11,entropy,8,5,7,balanced,6,30,30,0.5555555555555556,0.6,0.5793650793650794,45
11,entropy,8,5,7,balanced,6,31,31,0.7555555555555555,0.717948717948718,0.8092885375494071,45
11,entropy,8,5,7,balanced,6,32,32,0.8409090909090909,0.8444444444444444,0.8571428571428571,44
11,entropy,8,5,7,balanced,6,33,33,0.7555555555555555,0.717948717948718,0.8606719367588933,45
11,entropy,8,5,7,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
11,entropy,8,5,7,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
11,entropy,8,5,7,balanced,6,36,36,0.4090909090909091,0.43478260869565216,0.4328512396694215,44
11,entropy,8,5,7,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
11,entropy,8,5,7,balanced,6,38,38,0.4888888888888889,0.46511627906976744,0.5306324110671936,45
11,entropy,8,5,7,balanced,6,39,39,0.4090909090909091,0.4583333333333333,0.38198757763975155,44
11,entropy,8,5,7,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873,45
11,entropy,8,5,7,balanced,6,41,41,0.5333333333333333,0.08695652173913043,0.5029761904761905,45
11,entropy,8,5,7,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.824110671936759,45
11,entropy,8,5,7,balanced,6,43,43,0.6666666666666666,0.5161290322580645,0.7737154150197629,45
11,entropy,8,5,7,balanced,6,44,44,0.6896551724137931,0.6086956521739131,0.6666666666666667,29
11,entropy,8,5,7,balanced,6,45,45,0.5555555555555556,0.16666666666666666,0.5770750988142292,45
11,entropy,8,5,7,balanced,6,46,46,0.4888888888888889,0.6349206349206349,0.4960474308300395,45
11,entropy,8,5,7,balanced,6,47,47,0.4666666666666667,0.6363636363636364,0.5,45
11,entropy,8,5,7,balanced,6,48,48,0.5882352941176471,0.631578947368421,0.5,17
11,entropy,8,5,7,balanced,6,49,49,0.7555555555555555,0.7027027027027027,0.7302371541501976,45
11,entropy,8,5,7,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
11,entropy,8,5,7,balanced,6,51,51,0.4666666666666667,0.6363636363636364,0.5,45
11,entropy,8,5,7,balanced,6,52,52,0.6829268292682927,0.5806451612903226,0.687799043062201,41
11,entropy,8,5,7,balanced,6,53,53,0.627906976744186,0.5555555555555556,0.6103896103896105,43
11,entropy,8,5,7,balanced,6,54,54,0.5641025641025641,0.6382978723404256,0.6440217391304348,39
11,entropy,8,5,7,balanced,6,55,55,0.4888888888888889,0.6567164179104478,0.5,45
11,entropy,8,5,7,balanced,6,56,56,0.5909090909090909,0.6538461538461539,0.7004132231404958,44
11,entropy,8,5,7,balanced,6,57,57,0.6888888888888889,0.65,0.6845238095238095,45
11,entropy,8,5,7,balanced,6,58,58,0.6,0.35714285714285715,0.5992063492063492,45
11,entropy,8,5,7,balanced,6,59,59,0.4444444444444444,0.3902439024390244,0.4464285714285714,45
11,entropy,8,5,7,balanced,6,60,60,0.8409090909090909,0.851063829787234,0.8884297520661157,44
11,entropy,8,5,7,balanced,6,61,61,0.627906976744186,0.6,0.7012987012987013,43
11,entropy,8,5,7,balanced,6,62,62,0.7777777777777778,0.75,0.857707509881423,45
11,entropy,8,5,7,balanced,6,63,63,0.5581395348837209,0.3448275862068966,0.5292207792207793,43
11,entropy,8,5,7,balanced,6,64,64,0.4888888888888889,0.6567164179104478,0.5,45
11,entropy,8,5,7,balanced,6,65,65,0.6,0.4375,0.5833333333333333,45
11,entropy,8,5,7,balanced,6,66,66,0.5111111111111111,0.5416666666666666,0.549407114624506,45
11,entropy,8,5,7,balanced,6,67,67,0.5555555555555556,0.2857142857142857,0.6205533596837944,45
11,entropy,8,5,7,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5365612648221344,45
11,entropy,8,5,7,balanced,6,69,69,0.6,0.4375,0.5674603174603174,45
11,entropy,8,5,7,balanced,6,70,70,0.5777777777777777,0.6415094339622641,0.5652173913043479,45
11,entropy,8,5,7,balanced,6,71,71,0.7111111111111111,0.6976744186046512,0.6758893280632411,45
11,entropy,8,5,7,balanced,6,72,72,0.5111111111111111,0.6764705882352942,0.5,45
11,entropy,8,5,7,balanced,6,73,73,0.4888888888888889,0.6567164179104478,0.5,45
11,entropy,8,5,7,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
11,entropy,8,5,7,balanced,6,75,75,0.6341463414634146,0.6341463414634146,0.6452380952380953,41
11,entropy,8,5,7,balanced,6,76,76,0.4888888888888889,0.6567164179104478,0.5,45
11,entropy,8,5,7,balanced,6,77,77,0.4888888888888889,0.5306122448979592,0.4831349206349207,45
11,entropy,8,5,7,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.607707509881423,45
11,entropy,8,5,7,balanced,6,79,79,0.675,0.6285714285714286,0.63625,40
11,entropy,8,5,7,balanced,6,80,80,0.5333333333333333,0.16,0.6185770750988142,45
11,entropy,8,5,7,balanced,6,81,81,0.6,0.5263157894736842,0.6482213438735178,45
11,entropy,8,5,7,balanced,6,82,82,0.5333333333333333,0.6440677966101694,0.641304347826087,45
11,entropy,8,5,7,balanced,6,83,83,0.5526315789473685,0.2608695652173913,0.5069252077562326,38
11,entropy,8,5,7,balanced,6,84,84,0.5909090909090909,0.625,0.6997929606625259,44
11,entropy,8,5,7,balanced,6,85,85,0.5909090909090909,0.6785714285714286,0.8105590062111802,44
11,entropy,8,5,7,balanced,6,86,86,0.5909090909090909,0.64,0.6190476190476191,44
11,entropy,8,5,7,balanced,6,87,87,0.5777777777777777,0.5581395348837209,0.6067193675889329,45
11,entropy,8,5,7,balanced,6,88,88,0.43636363636363634,0.0,0.42460317460317465,55
11,entropy,8,5,7,balanced,6,89,89,0.5111111111111111,0.65625,0.5416666666666667,45
11,entropy,8,5,7,balanced,6,90,90,0.4666666666666667,0.5384615384615384,0.4723320158102767,45
11,entropy,8,5,7,balanced,6,91,91,0.6363636363636364,0.7333333333333333,0.6993801652892562,44
11,entropy,8,5,7,balanced,6,92,92,0.5714285714285714,0.4782608695652174,0.712820512820513,56
11,entropy,8,5,7,balanced,6,93,93,0.6,0.5263157894736842,0.6936758893280632,45
11,entropy,8,5,7,balanced,6,94,94,0.7272727272727273,0.7931034482758621,0.9140786749482401,44
11,entropy,8,5,7,balanced,6,95,95,0.42857142857142855,0.38461538461538464,0.3411458333333333,28
11,entropy,8,5,7,balanced,6,96,96,0.5,0.6181818181818182,0.47959183673469385,42
11,entropy,8,5,7,balanced,6,97,97,0.5,0.0,0.48966942148760334,44
11,entropy,8,5,7,balanced,6,98,98,0.5111111111111111,0.3888888888888889,0.5405138339920948,45
11,entropy,8,5,7,balanced,6,99,99,0.4418604651162791,0.29411764705882354,0.42316017316017324,43
11,entropy,8,5,7,balanced,6,100,100,0.5,0.55,0.4969135802469136,36
11,entropy,8,5,7,balanced,6,101,101,0.4888888888888889,0.0,0.559288537549407,45
11,entropy,8,5,7,balanced,6,102,102,0.4888888888888889,0.14814814814814814,0.4980237154150197,45
11,entropy,8,5,7,balanced,6,103,103,0.627906976744186,0.5294117647058824,0.7045454545454546,43
11,entropy,8,5,7,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.564935064935065,43
11,entropy,8,5,7,balanced,6,105,105,0.5777777777777777,0.3870967741935484,0.549407114624506,45
11,entropy,8,5,7,balanced,6,106,106,0.5777777777777777,0.5365853658536586,0.6071428571428571,45
11,entropy,8,5,7,balanced,6,107,107,0.4222222222222222,0.48,0.46130952380952384,45
11,entropy,8,5,7,balanced,6,108,108,0.6444444444444445,0.5789473684210527,0.7430830039525691,45
12,entropy,7,7,3,balanced,6,1,1,0.6,0.6896551724137931,0.5849802371541503,45
12,entropy,7,7,3,balanced,6,2,2,0.8,0.7804878048780488,0.8152173913043479,45
12,entropy,7,7,3,balanced,6,3,3,0.4888888888888889,0.5964912280701754,0.5138339920948616,45
12,entropy,7,7,3,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
12,entropy,7,7,3,balanced,6,5,5,0.4444444444444444,0.32432432432432434,0.4255952380952381,45
12,entropy,7,7,3,balanced,6,6,6,0.5333333333333333,0.2222222222222222,0.5158730158730158,45
12,entropy,7,7,3,balanced,6,7,7,0.5333333333333333,0.676923076923077,0.857707509881423,45
12,entropy,7,7,3,balanced,6,8,8,0.5777777777777777,0.2962962962962963,0.6620553359683794,45
12,entropy,7,7,3,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5496031746031745,45
12,entropy,7,7,3,balanced,6,10,10,0.6,0.6086956521739131,0.6170634920634921,45
12,entropy,7,7,3,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
12,entropy,7,7,3,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
12,entropy,7,7,3,balanced,6,13,13,0.6285714285714286,0.38095238095238093,0.8186274509803921,35
12,entropy,7,7,3,balanced,6,14,14,0.5777777777777777,0.7076923076923077,0.5869565217391304,45
12,entropy,7,7,3,balanced,6,15,15,0.7555555555555555,0.7924528301886793,0.8764822134387351,45
12,entropy,7,7,3,balanced,6,16,16,0.4666666666666667,0.14285714285714285,0.45849802371541504,45
12,entropy,7,7,3,balanced,6,17,17,0.5714285714285714,0.18181818181818182,0.5249999999999999,42
12,entropy,7,7,3,balanced,6,18,18,0.4888888888888889,0.0,0.5,45
12,entropy,7,7,3,balanced,6,19,19,0.5555555555555556,0.6296296296296297,0.6086956521739131,45
12,entropy,7,7,3,balanced,6,20,20,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,21,21,0.6222222222222222,0.48484848484848486,0.6071428571428572,45
12,entropy,7,7,3,balanced,6,22,22,0.5777777777777777,0.4864864864864865,0.6551383399209486,45
12,entropy,7,7,3,balanced,6,23,23,0.7045454545454546,0.7450980392156863,0.774793388429752,44
12,entropy,7,7,3,balanced,6,24,24,0.4444444444444444,0.375,0.4155844155844156,18
12,entropy,7,7,3,balanced,6,25,25,0.5111111111111111,0.08333333333333333,0.5,45
12,entropy,7,7,3,balanced,6,26,26,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
12,entropy,7,7,3,balanced,6,27,27,0.4,0.509090909090909,0.5019762845849803,45
12,entropy,7,7,3,balanced,6,28,28,0.4444444444444444,0.32432432432432434,0.3992094861660079,45
12,entropy,7,7,3,balanced,6,29,29,0.6444444444444445,0.6190476190476191,0.709486166007905,45
12,entropy,7,7,3,balanced,6,30,30,0.5555555555555556,0.09090909090909091,0.5238095238095238,45
12,entropy,7,7,3,balanced,6,31,31,0.5555555555555556,0.696969696969697,0.7401185770750989,45
12,entropy,7,7,3,balanced,6,32,32,0.7272727272727273,0.7857142857142857,0.8685300207039338,44
12,entropy,7,7,3,balanced,6,33,33,0.6666666666666666,0.6511627906976745,0.7322134387351779,45
12,entropy,7,7,3,balanced,6,34,34,0.5777777777777777,0.3448275862068966,0.6607142857142857,45
12,entropy,7,7,3,balanced,6,35,35,0.5555555555555556,0.23076923076923078,0.6215415019762845,45
12,entropy,7,7,3,balanced,6,36,36,0.5227272727272727,0.6181818181818182,0.5268595041322315,44
12,entropy,7,7,3,balanced,6,37,37,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,38,38,0.5333333333333333,0.46153846153846156,0.5770750988142292,45
12,entropy,7,7,3,balanced,6,39,39,0.4090909090909091,0.4090909090909091,0.33022774327122156,44
12,entropy,7,7,3,balanced,6,40,40,0.4222222222222222,0.0,0.3998015873015873,45
12,entropy,7,7,3,balanced,6,41,41,0.5333333333333333,0.0,0.5,45
12,entropy,7,7,3,balanced,6,42,42,0.7333333333333333,0.7391304347826086,0.8043478260869567,45
12,entropy,7,7,3,balanced,6,43,43,0.6444444444444445,0.4666666666666667,0.7065217391304348,45
12,entropy,7,7,3,balanced,6,44,44,0.7241379310344828,0.6666666666666666,0.7119047619047618,29
12,entropy,7,7,3,balanced,6,45,45,0.5777777777777777,0.5365853658536586,0.6027667984189724,45
12,entropy,7,7,3,balanced,6,46,46,0.4666666666666667,0.625,0.4762845849802371,45
12,entropy,7,7,3,balanced,6,47,47,0.5333333333333333,0.0,0.5,45
12,entropy,7,7,3,balanced,6,48,48,0.6470588235294118,0.6666666666666666,0.6785714285714286,17
12,entropy,7,7,3,balanced,6,49,49,0.7777777777777778,0.75,0.7588932806324111,45
12,entropy,7,7,3,balanced,6,50,50,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,51,51,0.5333333333333333,0.0,0.5,45
12,entropy,7,7,3,balanced,6,52,52,0.7073170731707317,0.5714285714285714,0.6746411483253589,41
12,entropy,7,7,3,balanced,6,53,53,0.627906976744186,0.5555555555555556,0.6125541125541126,43
12,entropy,7,7,3,balanced,6,54,54,0.5641025641025641,0.6046511627906976,0.5638586956521738,39
12,entropy,7,7,3,balanced,6,55,55,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,56,56,0.5681818181818182,0.6666666666666666,0.6601239669421488,44
12,entropy,7,7,3,balanced,6,57,57,0.5777777777777777,0.4864864864864865,0.5734126984126984,45
12,entropy,7,7,3,balanced,6,58,58,0.5111111111111111,0.5925925925925926,0.5158730158730158,45
12,entropy,7,7,3,balanced,6,59,59,0.4888888888888889,0.20689655172413793,0.4246031746031746,45
12,entropy,7,7,3,balanced,6,60,60,0.7954545454545454,0.8163265306122449,0.8409090909090909,44
12,entropy,7,7,3,balanced,6,61,61,0.6976744186046512,0.7346938775510204,0.6991341991341992,43
12,entropy,7,7,3,balanced,6,62,62,0.7777777777777778,0.75,0.8705533596837944,45
12,entropy,7,7,3,balanced,6,63,63,0.5581395348837209,0.3448275862068966,0.5292207792207793,43
12,entropy,7,7,3,balanced,6,64,64,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,65,65,0.5333333333333333,0.6666666666666666,0.5625,45
12,entropy,7,7,3,balanced,6,66,66,0.6,0.5909090909090909,0.5879446640316205,45
12,entropy,7,7,3,balanced,6,67,67,0.5555555555555556,0.2857142857142857,0.6205533596837944,45
12,entropy,7,7,3,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5424901185770751,45
12,entropy,7,7,3,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5109126984126984,45
12,entropy,7,7,3,balanced,6,70,70,0.5777777777777777,0.6415094339622641,0.5632411067193676,45
12,entropy,7,7,3,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.8112648221343873,45
12,entropy,7,7,3,balanced,6,72,72,0.4888888888888889,0.0,0.5,45
12,entropy,7,7,3,balanced,6,73,73,0.5111111111111111,0.0,0.5,45
12,entropy,7,7,3,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5059523809523809,45
12,entropy,7,7,3,balanced,6,75,75,0.43902439024390244,0.6101694915254238,0.532142857142857,41
12,entropy,7,7,3,balanced,6,76,76,0.5111111111111111,0.15384615384615385,0.5019762845849802,45
12,entropy,7,7,3,balanced,6,77,77,0.4888888888888889,0.41025641025641024,0.5168650793650794,45
12,entropy,7,7,3,balanced,6,78,78,0.5777777777777777,0.6545454545454545,0.5810276679841897,45
12,entropy,7,7,3,balanced,6,79,79,0.625,0.5454545454545454,0.53625,40
12,entropy,7,7,3,balanced,6,80,80,0.5333333333333333,0.16,0.6640316205533596,45
12,entropy,7,7,3,balanced,6,81,81,0.6,0.5263157894736842,0.6205533596837944,45
12,entropy,7,7,3,balanced,6,82,82,0.5555555555555556,0.6774193548387096,0.6067193675889327,45
12,entropy,7,7,3,balanced,6,83,83,0.5789473684210527,0.3333333333333333,0.574792243767313,38
12,entropy,7,7,3,balanced,6,84,84,0.6363636363636364,0.6666666666666666,0.748447204968944,44
12,entropy,7,7,3,balanced,6,85,85,0.5909090909090909,0.6896551724137931,0.8033126293995859,44
12,entropy,7,7,3,balanced,6,86,86,0.6136363636363636,0.6666666666666666,0.6231884057971014,44
12,entropy,7,7,3,balanced,6,87,87,0.4666666666666667,0.5714285714285714,0.49901185770750983,45
12,entropy,7,7,3,balanced,6,88,88,0.45454545454545453,0.0625,0.49735449735449744,55
12,entropy,7,7,3,balanced,6,89,89,0.5333333333333333,0.0,0.5,45
12,entropy,7,7,3,balanced,6,90,90,0.4444444444444444,0.5098039215686274,0.4644268774703557,45
12,entropy,7,7,3,balanced,6,91,91,0.6136363636363636,0.6382978723404256,0.6570247933884297,44
12,entropy,7,7,3,balanced,6,92,92,0.5535714285714286,0.358974358974359,0.735897435897436,56
12,entropy,7,7,3,balanced,6,93,93,0.7333333333333333,0.75,0.6956521739130437,45
12,entropy,7,7,3,balanced,6,94,94,0.8409090909090909,0.8679245283018868,0.8954451345755694,44
12,entropy,7,7,3,balanced,6,95,95,0.4642857142857143,0.4827586206896552,0.47395833333333337,28
12,entropy,7,7,3,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5351473922902494,42
12,entropy,7,7,3,balanced,6,97,97,0.5,0.0,0.48347107438016534,44
12,entropy,7,7,3,balanced,6,98,98,0.5555555555555556,0.5,0.5375494071146245,45
12,entropy,7,7,3,balanced,6,99,99,0.46511627906976744,0.5964912280701754,0.4632034632034633,43
12,entropy,7,7,3,balanced,6,100,100,0.5,0.5263157894736842,0.441358024691358,36
12,entropy,7,7,3,balanced,6,101,101,0.4888888888888889,0.0,0.559288537549407,45
12,entropy,7,7,3,balanced,6,102,102,0.4888888888888889,0.0,0.5,45
12,entropy,7,7,3,balanced,6,103,103,0.6046511627906976,0.5142857142857142,0.6504329004329005,43
12,entropy,7,7,3,balanced,6,104,104,0.5581395348837209,0.5581395348837209,0.5660173160173161,43
12,entropy,7,7,3,balanced,6,105,105,0.5111111111111111,0.5,0.516798418972332,45
12,entropy,7,7,3,balanced,6,106,106,0.4888888888888889,0.46511627906976744,0.4821428571428571,45
12,entropy,7,7,3,balanced,6,107,107,0.4,0.47058823529411764,0.4295634920634921,45
12,entropy,7,7,3,balanced,6,108,108,0.7333333333333333,0.7,0.7737154150197628,45
13,entropy,9,5,7,balanced,6,1,1,0.6,0.6896551724137931,0.6254940711462451,45
13,entropy,9,5,7,balanced,6,2,2,0.7777777777777778,0.75,0.8389328063241108,45
13,entropy,9,5,7,balanced,6,3,3,0.5111111111111111,0.6206896551724138,0.40118577075098805,45
13,entropy,9,5,7,balanced,6,4,4,0.5333333333333333,0.16,0.5237154150197628,45
13,entropy,9,5,7,balanced,6,5,5,0.4444444444444444,0.358974358974359,0.4722222222222222,45
13,entropy,9,5,7,balanced,6,6,6,0.4444444444444444,0.1935483870967742,0.42162698412698413,45
13,entropy,9,5,7,balanced,6,7,7,0.7555555555555555,0.7441860465116279,0.7065217391304348,45
13,entropy,9,5,7,balanced,6,8,8,0.5555555555555556,0.3333333333333333,0.6956521739130435,45
13,entropy,9,5,7,balanced,6,9,9,0.5333333333333333,0.27586206896551724,0.5436507936507936,45
13,entropy,9,5,7,balanced,6,10,10,0.6,0.5909090909090909,0.6478174603174602,45
13,entropy,9,5,7,balanced,6,11,11,0.4666666666666667,0.6129032258064516,0.47529644268774707,45
13,entropy,9,5,7,balanced,6,12,12,0.4888888888888889,0.14814814814814814,0.5168650793650793,45
