parameter_name,parameter_value,cov_estimator,ts_metric,C,solver,class_weight,fold,subject,accuracy,f1_score,roc_auc
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,41,41,0.5777777777777777,0.3870967741935484,0.6746031746031745
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,42,42,0.6444444444444445,0.4666666666666667,0.9288537549407114
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,43,43,0.7777777777777778,0.8076923076923077,0.9347826086956522
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,44,44,0.5862068965517241,0.4,0.8428571428571429
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,45,45,0.6666666666666666,0.6808510638297872,0.7035573122529645
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,46,46,0.5555555555555556,0.4444444444444444,0.709486166007905
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,47,47,0.5333333333333333,0.43243243243243246,0.5535714285714286
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,48,48,0.5882352941176471,0.46153846153846156,0.9142857142857143
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,49,49,0.7111111111111111,0.7719298245614035,0.9703557312252964
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,50,50,0.5555555555555556,0.5,0.4762845849802372
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,51,51,0.4666666666666667,0.0,0.5059523809523809
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,52,52,0.8048780487804879,0.7647058823529411,0.8373205741626794
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,53,53,0.4883720930232558,0.47619047619047616,0.4956709956709957
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,54,54,0.6666666666666666,0.6829268292682927,0.8043478260869565
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,55,55,0.8888888888888888,0.8837209302325582,0.9446640316205535
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,56,56,0.75,0.7659574468085106,0.8099173553719008
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,57,57,0.6444444444444445,0.6190476190476191,0.6666666666666666
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,58,58,0.6222222222222222,0.6222222222222222,0.6587301587301587
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,59,59,0.5777777777777777,0.17391304347826086,0.4781746031746032
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,60,60,0.7954545454545454,0.7906976744186046,0.896694214876033
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,61,61,0.7674418604651163,0.75,0.8831168831168832
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,62,62,0.5111111111111111,0.0,0.9387351778656127
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,63,63,0.5116279069767442,0.676923076923077,0.4047619047619047
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,64,64,0.6444444444444445,0.6666666666666666,0.66600790513834
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,65,65,0.7111111111111111,0.6486486486486487,0.7123015873015872
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,66,66,0.4666666666666667,0.5384615384615384,0.4743083003952569
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,67,67,0.5333333333333333,0.5531914893617021,0.5355731225296442
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,68,68,0.6444444444444445,0.6363636363636364,0.7411067193675889
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,69,69,0.5333333333333333,0.43243243243243246,0.5873015873015873
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,70,70,0.6444444444444445,0.5555555555555556,0.7944664031620553
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,71,71,0.7555555555555555,0.7027027027027027,0.8893280632411067
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,72,72,0.8888888888888888,0.8979591836734694,0.9861660079051383
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,73,73,0.6222222222222222,0.6046511627906976,0.6719367588932806
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,74,74,0.5555555555555556,0.6428571428571429,0.6547619047619047
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,75,75,0.8536585365853658,0.8421052631578947,0.9047619047619047
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,76,76,0.4888888888888889,0.6567164179104478,0.5335968379446641
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,77,77,0.5111111111111111,0.6451612903225806,0.5376984126984127
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,78,78,0.4888888888888889,0.5818181818181818,0.5335968379446641
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,79,79,0.6,0.6363636363636364,0.64
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,80,80,0.6,0.5263157894736842,0.6205533596837944
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,81,81,0.4888888888888889,0.0,0.7845849802371542
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,82,82,0.6666666666666666,0.7058823529411765,0.7707509881422925
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,83,83,0.8421052631578947,0.85,0.9529085872576176
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,84,84,0.5681818181818182,0.6122448979591837,0.7267080745341614
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,85,85,0.8409090909090909,0.8444444444444444,0.9316770186335404
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,86,86,0.7727272727272727,0.8076923076923077,0.8881987577639752
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,87,87,0.5111111111111111,0.5925925925925926,0.4624505928853755
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,88,88,0.5454545454545454,0.358974358974359,0.5873015873015873
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,89,89,0.6222222222222222,0.6222222222222222,0.6746031746031745
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,90,90,0.5555555555555556,0.4444444444444444,0.5494071146245059
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,91,91,0.5909090909090909,0.7096774193548387,0.7954545454545455
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,92,92,0.7142857142857143,0.7777777777777778,0.7692307692307692
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,93,93,0.8,0.7906976744186046,0.8932806324110671
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,94,94,0.75,0.8070175438596491,0.9772256728778468
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,95,95,0.5714285714285714,0.5714285714285714,0.6354166666666666
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,96,96,0.47619047619047616,0.42105263157894735,0.5668934240362812
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,97,97,0.5681818181818182,0.42424242424242425,0.5764462809917356
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,98,98,0.4888888888888889,0.6461538461538462,0.5691699604743083
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,99,99,0.4883720930232558,0.15384615384615385,0.6147186147186148
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,100,100,0.5277777777777778,0.5405405405405406,0.5524691358024691
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,101,101,0.4888888888888889,0.25806451612903225,0.5079051383399209
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,102,102,0.8,0.7804878048780488,0.8952569169960475
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,103,103,0.6511627906976745,0.7058823529411765,0.7705627705627704
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,104,104,0.4186046511627907,0.5454545454545454,0.3917748917748918
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,105,105,0.6222222222222222,0.6382978723404256,0.6343873517786561
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,106,106,0.6666666666666666,0.6808510638297872,0.7083333333333333
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,107,107,0.6888888888888889,0.6956521739130435,0.6904761904761905
ts_metric,riemann,lwf,riemann,1.0,lbfgs,balanced,108,108,0.7555555555555555,0.7843137254901961,0.8695652173913043
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,1,1,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,2,2,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,3,3,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,4,4,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,5,5,0.4666666666666667,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,6,6,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,7,7,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,8,8,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,9,9,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,10,10,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,11,11,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,12,12,0.4666666666666667,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,13,13,0.5142857142857142,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,14,14,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,15,15,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,16,16,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,17,17,0.5238095238095238,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,18,18,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,19,19,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,20,20,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,21,21,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,22,22,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,23,23,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,24,24,0.3888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,25,25,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,26,26,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,27,27,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,28,28,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,29,29,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,30,30,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,31,31,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,32,32,0.4772727272727273,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,33,33,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,34,34,0.4666666666666667,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,35,35,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,36,36,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,37,37,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,38,38,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,39,39,0.5227272727272727,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,40,40,0.4666666666666667,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,41,41,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,42,42,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,43,43,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,44,44,0.4827586206896552,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,45,45,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,46,46,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,47,47,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,48,48,0.4117647058823529,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,49,49,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,50,50,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,51,51,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,52,52,0.5365853658536586,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,53,53,0.4883720930232558,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,54,54,0.5897435897435898,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,55,55,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,56,56,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,57,57,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,58,58,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,59,59,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,60,60,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,61,61,0.4883720930232558,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,62,62,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,63,63,0.4883720930232558,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,64,64,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,65,65,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,66,66,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,67,67,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,68,68,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,69,69,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,70,70,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,71,71,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,72,72,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,73,73,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,74,74,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,75,75,0.5121951219512195,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,76,76,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,77,77,0.4666666666666667,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,78,78,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,79,79,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,80,80,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,81,81,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,82,82,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,83,83,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,84,84,0.5227272727272727,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,85,85,0.5227272727272727,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,86,86,0.4772727272727273,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,87,87,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,88,88,0.4909090909090909,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,89,89,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,90,90,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,91,91,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,92,92,0.4642857142857143,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,93,93,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,94,94,0.4772727272727273,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,95,95,0.5714285714285714,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,96,96,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,97,97,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,98,98,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,99,99,0.4883720930232558,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,100,100,0.5,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,101,101,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,102,102,0.4888888888888889,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,103,103,0.5116279069767442,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,104,104,0.5116279069767442,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,105,105,0.5111111111111111,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,106,106,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,107,107,0.5333333333333333,0.0,0.5
ts_metric,logeuclid,lwf,logeuclid,1.0,lbfgs,balanced,108,108,0.4888888888888889,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,1,1,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,2,2,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,3,3,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,4,4,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,5,5,0.4666666666666667,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,6,6,0.5333333333333333,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,7,7,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,8,8,0.4888888888888889,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,9,9,0.5333333333333333,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,10,10,0.5333333333333333,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,11,11,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,12,12,0.4666666666666667,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,13,13,0.5142857142857142,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,14,14,0.4888888888888889,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,15,15,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,16,16,0.4888888888888889,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,17,17,0.5238095238095238,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,18,18,0.4888888888888889,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,19,19,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,20,20,0.5111111111111111,0.0,0.5
ts_metric,euclid,lwf,euclid,1.0,lbfgs,balanced,21,21,0.5333333333333333,0.0,0.5
