trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
18,13,distance,euclidean,unused,6,32,32,0.6136363636363636,0.6666666666666666,0.6853002070393375,44
18,13,distance,euclidean,unused,6,33,33,0.7111111111111111,0.6486486486486487,0.7865612648221344,45
18,13,distance,euclidean,unused,6,34,34,0.7555555555555555,0.7924528301886793,0.8472222222222222,45
18,13,distance,euclidean,unused,6,35,35,0.5555555555555556,0.47368421052631576,0.5711462450592886,45
18,13,distance,euclidean,unused,6,36,36,0.5,0.5217391304347826,0.49380165289256206,44
18,13,distance,euclidean,unused,6,37,37,0.5111111111111111,0.0,0.4723320158102767,45
18,13,distance,euclidean,unused,6,38,38,0.5555555555555556,0.4444444444444444,0.44664031620553357,45
18,13,distance,euclidean,unused,6,39,39,0.5227272727272727,0.5882352941176471,0.4409937888198757,44
18,13,distance,euclidean,unused,6,40,40,0.4,0.37209302325581395,0.4047619047619047,45
18,13,distance,euclidean,unused,6,41,41,0.6,0.5263157894736842,0.5535714285714285,45
18,13,distance,euclidean,unused,6,42,42,0.7777777777777778,0.782608695652174,0.9288537549407114,45
18,13,distance,euclidean,unused,6,43,43,0.5333333333333333,0.43243243243243246,0.5039525691699605,45
18,13,distance,euclidean,unused,6,44,44,0.7586206896551724,0.7586206896551724,0.7523809523809524,29
18,13,distance,euclidean,unused,6,45,45,0.5777777777777777,0.45714285714285713,0.5612648221343873,45
18,13,distance,euclidean,unused,6,46,46,0.4222222222222222,0.48,0.4426877470355731,45
18,13,distance,euclidean,unused,6,47,47,0.5111111111111111,0.56,0.5615079365079365,45
18,13,distance,euclidean,unused,6,48,48,0.7058823529411765,0.7058823529411765,0.7714285714285715,17
18,13,distance,euclidean,unused,6,49,49,0.8666666666666667,0.8571428571428571,0.9110671936758893,45
18,13,distance,euclidean,unused,6,50,50,0.6,0.6785714285714286,0.6857707509881424,45
18,13,distance,euclidean,unused,6,51,51,0.5555555555555556,0.09090909090909091,0.5615079365079365,45
18,13,distance,euclidean,unused,6,52,52,0.7073170731707317,0.6,0.7834928229665071,41
18,13,distance,euclidean,unused,6,53,53,0.5348837209302325,0.375,0.45670995670995673,43
18,13,distance,euclidean,unused,6,54,54,0.6410256410256411,0.6956521739130435,0.7989130434782609,39
18,13,distance,euclidean,unused,6,55,55,0.7333333333333333,0.6842105263157895,0.7885375494071147,45
18,13,distance,euclidean,unused,6,56,56,0.6590909090909091,0.5945945945945946,0.8057851239669422,44
18,13,distance,euclidean,unused,6,57,57,0.5555555555555556,0.5454545454545454,0.6825396825396826,45
18,13,distance,euclidean,unused,6,58,58,0.5111111111111111,0.42105263157894735,0.5376984126984127,45
18,13,distance,euclidean,unused,6,59,59,0.4,0.18181818181818182,0.43452380952380953,45
18,13,distance,euclidean,unused,6,60,60,0.7727272727272727,0.7619047619047619,0.9235537190082646,44
18,13,distance,euclidean,unused,6,61,61,0.6744186046511628,0.5625,0.761904761904762,43
18,13,distance,euclidean,unused,6,62,62,0.8222222222222222,0.7894736842105263,0.8517786561264823,45
18,13,distance,euclidean,unused,6,63,63,0.5581395348837209,0.2962962962962963,0.6212121212121212,43
18,13,distance,euclidean,unused,6,64,64,0.6888888888888889,0.6818181818181818,0.7509881422924901,45
18,13,distance,euclidean,unused,6,65,65,0.4888888888888889,0.3783783783783784,0.46031746031746024,45
18,13,distance,euclidean,unused,6,66,66,0.4222222222222222,0.43478260869565216,0.47430830039525695,45
18,13,distance,euclidean,unused,6,67,67,0.4888888888888889,0.08,0.5335968379446641,45
18,13,distance,euclidean,unused,6,68,68,0.4888888888888889,0.14814814814814814,0.5691699604743082,45
18,13,distance,euclidean,unused,6,69,69,0.6,0.5263157894736842,0.5734126984126984,45
18,13,distance,euclidean,unused,6,70,70,0.5777777777777777,0.5128205128205128,0.5573122529644269,45
18,13,distance,euclidean,unused,6,71,71,0.6222222222222222,0.41379310344827586,0.49999999999999994,45
18,13,distance,euclidean,unused,6,72,72,0.8444444444444444,0.8372093023255814,0.9466403162055336,45
18,13,distance,euclidean,unused,6,73,73,0.6222222222222222,0.48484848484848486,0.6996047430830039,45
18,13,distance,euclidean,unused,6,74,74,0.5777777777777777,0.5365853658536586,0.6329365079365079,45
18,13,distance,euclidean,unused,6,75,75,0.6097560975609756,0.6,0.6880952380952381,41
18,13,distance,euclidean,unused,6,76,76,0.4666666666666667,0.52,0.5237154150197629,45
18,13,distance,euclidean,unused,6,77,77,0.5333333333333333,0.631578947368421,0.5476190476190476,45
18,13,distance,euclidean,unused,6,78,78,0.6444444444444445,0.68,0.6007905138339922,45
18,13,distance,euclidean,unused,6,79,79,0.625,0.6153846153846154,0.6399999999999999,40
18,13,distance,euclidean,unused,6,80,80,0.5333333333333333,0.27586206896551724,0.5928853754940712,45
18,13,distance,euclidean,unused,6,81,81,0.4888888888888889,0.0,0.4881422924901186,45
18,13,distance,euclidean,unused,6,82,82,0.6222222222222222,0.711864406779661,0.6561264822134387,45
18,13,distance,euclidean,unused,6,83,83,0.5263157894736842,0.1,0.6094182825484764,38
18,13,distance,euclidean,unused,6,84,84,0.7045454545454546,0.6976744186046512,0.7101449275362318,44
18,13,distance,euclidean,unused,6,85,85,0.5909090909090909,0.6896551724137931,0.8488612836438924,44
18,13,distance,euclidean,unused,6,86,86,0.5909090909090909,0.5909090909090909,0.6376811594202898,44
18,13,distance,euclidean,unused,6,87,87,0.5111111111111111,0.6206896551724138,0.658102766798419,45
18,13,distance,euclidean,unused,6,88,88,0.5272727272727272,0.4090909090909091,0.5145502645502645,55
18,13,distance,euclidean,unused,6,89,89,0.6222222222222222,0.711864406779661,0.6468253968253967,45
18,13,distance,euclidean,unused,6,90,90,0.4444444444444444,0.4186046511627907,0.4229249011857707,45
18,13,distance,euclidean,unused,6,91,91,0.6363636363636364,0.7142857142857143,0.7128099173553719,44
18,13,distance,euclidean,unused,6,92,92,0.5892857142857143,0.4888888888888889,0.5153846153846153,56
18,13,distance,euclidean,unused,6,93,93,0.6444444444444445,0.68,0.7984189723320159,45
18,13,distance,euclidean,unused,6,94,94,0.8409090909090909,0.8679245283018868,0.9606625258799173,44
18,13,distance,euclidean,unused,6,95,95,0.4642857142857143,0.5945945945945946,0.5364583333333334,28
18,13,distance,euclidean,unused,6,96,96,0.40476190476190477,0.5614035087719298,0.5011337868480725,42
18,13,distance,euclidean,unused,6,97,97,0.5681818181818182,0.3870967741935484,0.5247933884297521,44
18,13,distance,euclidean,unused,6,98,98,0.5333333333333333,0.6440677966101694,0.5810276679841897,45
18,13,distance,euclidean,unused,6,99,99,0.5348837209302325,0.3333333333333333,0.5670995670995671,43
18,13,distance,euclidean,unused,6,100,100,0.5,0.5714285714285714,0.5555555555555556,36
18,13,distance,euclidean,unused,6,101,101,0.5333333333333333,0.2222222222222222,0.5335968379446641,45
18,13,distance,euclidean,unused,6,102,102,0.6222222222222222,0.6046511627906976,0.6699604743083004,45
18,13,distance,euclidean,unused,6,103,103,0.627906976744186,0.6363636363636364,0.7186147186147186,43
18,13,distance,euclidean,unused,6,104,104,0.4418604651162791,0.4782608695652174,0.47619047619047616,43
18,13,distance,euclidean,unused,6,105,105,0.4888888888888889,0.41025641025641024,0.43873517786561267,45
18,13,distance,euclidean,unused,6,106,106,0.6,0.55,0.5634920634920635,45
18,13,distance,euclidean,unused,6,107,107,0.4888888888888889,0.5106382978723404,0.4722222222222222,45
18,13,distance,euclidean,unused,6,108,108,0.7555555555555555,0.7027027027027027,0.7964426877470355,45
19,13,distance,euclidean,unused,6,1,1,0.5333333333333333,0.5882352941176471,0.47233201581027673,45
19,13,distance,euclidean,unused,6,2,2,0.6888888888888889,0.5625,0.8537549407114625,45
19,13,distance,euclidean,unused,6,3,3,0.37777777777777777,0.44,0.36363636363636365,45
19,13,distance,euclidean,unused,6,4,4,0.4888888888888889,0.25806451612903225,0.5612648221343873,45
19,13,distance,euclidean,unused,6,5,5,0.4222222222222222,0.4090909090909091,0.36904761904761907,45
19,13,distance,euclidean,unused,6,6,6,0.5333333333333333,0.08695652173913043,0.5,45
19,13,distance,euclidean,unused,6,7,7,0.6222222222222222,0.711864406779661,0.707509881422925,45
19,13,distance,euclidean,unused,6,8,8,0.5777777777777777,0.4864864864864865,0.6699604743083004,45
19,13,distance,euclidean,unused,6,9,9,0.4888888888888889,0.20689655172413793,0.41666666666666663,45
19,13,distance,euclidean,unused,6,10,10,0.6222222222222222,0.6222222222222222,0.6884920634920635,45
19,13,distance,euclidean,unused,6,11,11,0.5111111111111111,0.5217391304347826,0.5118577075098814,45
19,13,distance,euclidean,unused,6,12,12,0.5555555555555556,0.5,0.6884920634920635,45
19,13,distance,euclidean,unused,6,13,13,0.6571428571428571,0.6470588235294118,0.6666666666666666,35
19,13,distance,euclidean,unused,6,14,14,0.6222222222222222,0.5641025641025641,0.6146245059288538,45
19,13,distance,euclidean,unused,6,15,15,0.5333333333333333,0.6557377049180327,0.7855731225296443,45
19,13,distance,euclidean,unused,6,16,16,0.5777777777777777,0.5957446808510638,0.5750988142292489,45
19,13,distance,euclidean,unused,6,17,17,0.47619047619047616,0.26666666666666666,0.4318181818181818,42
19,13,distance,euclidean,unused,6,18,18,0.4888888888888889,0.5964912280701754,0.3932806324110672,45
19,13,distance,euclidean,unused,6,19,19,0.6,0.6538461538461539,0.6343873517786561,45
19,13,distance,euclidean,unused,6,20,20,0.6444444444444445,0.5294117647058824,0.6126482213438735,45
19,13,distance,euclidean,unused,6,21,21,0.5777777777777777,0.5957446808510638,0.6607142857142857,45
19,13,distance,euclidean,unused,6,22,22,0.4222222222222222,0.5517241379310345,0.38932806324110675,45
19,13,distance,euclidean,unused,6,23,23,0.6590909090909091,0.7169811320754716,0.75,44
19,13,distance,euclidean,unused,6,24,24,0.5,0.3076923076923077,0.5714285714285714,18
19,13,distance,euclidean,unused,6,25,25,0.6666666666666666,0.6341463414634146,0.6857707509881423,45
19,13,distance,euclidean,unused,6,26,26,0.5777777777777777,0.6122448979591837,0.6249999999999999,45
19,13,distance,euclidean,unused,6,27,27,0.4888888888888889,0.5964912280701754,0.5434782608695653,45
19,13,distance,euclidean,unused,6,28,28,0.5555555555555556,0.5454545454545454,0.541501976284585,45
19,13,distance,euclidean,unused,6,29,29,0.7777777777777778,0.8148148148148148,0.8498023715415021,45
19,13,distance,euclidean,unused,6,30,30,0.5333333333333333,0.16,0.4623015873015873,45
19,13,distance,euclidean,unused,6,31,31,0.6666666666666666,0.6938775510204082,0.7628458498023716,45
19,13,distance,euclidean,unused,6,32,32,0.6136363636363636,0.6666666666666666,0.6853002070393375,44
19,13,distance,euclidean,unused,6,33,33,0.7111111111111111,0.6486486486486487,0.7865612648221344,45
19,13,distance,euclidean,unused,6,34,34,0.7555555555555555,0.7924528301886793,0.8472222222222222,45
19,13,distance,euclidean,unused,6,35,35,0.5555555555555556,0.47368421052631576,0.5711462450592886,45
19,13,distance,euclidean,unused,6,36,36,0.5,0.5217391304347826,0.49380165289256206,44
19,13,distance,euclidean,unused,6,37,37,0.5111111111111111,0.0,0.4723320158102767,45
19,13,distance,euclidean,unused,6,38,38,0.5555555555555556,0.4444444444444444,0.44664031620553357,45
19,13,distance,euclidean,unused,6,39,39,0.5227272727272727,0.5882352941176471,0.4409937888198757,44
19,13,distance,euclidean,unused,6,40,40,0.4,0.37209302325581395,0.4047619047619047,45
19,13,distance,euclidean,unused,6,41,41,0.6,0.5263157894736842,0.5535714285714285,45
19,13,distance,euclidean,unused,6,42,42,0.7777777777777778,0.782608695652174,0.9288537549407114,45
19,13,distance,euclidean,unused,6,43,43,0.5333333333333333,0.43243243243243246,0.5039525691699605,45
19,13,distance,euclidean,unused,6,44,44,0.7586206896551724,0.7586206896551724,0.7523809523809524,29
19,13,distance,euclidean,unused,6,45,45,0.5777777777777777,0.45714285714285713,0.5612648221343873,45
19,13,distance,euclidean,unused,6,46,46,0.4222222222222222,0.48,0.4426877470355731,45
19,13,distance,euclidean,unused,6,47,47,0.5111111111111111,0.56,0.5615079365079365,45
19,13,distance,euclidean,unused,6,48,48,0.7058823529411765,0.7058823529411765,0.7714285714285715,17
19,13,distance,euclidean,unused,6,49,49,0.8666666666666667,0.8571428571428571,0.9110671936758893,45
19,13,distance,euclidean,unused,6,50,50,0.6,0.6785714285714286,0.6857707509881424,45
19,13,distance,euclidean,unused,6,51,51,0.5555555555555556,0.09090909090909091,0.5615079365079365,45
19,13,distance,euclidean,unused,6,52,52,0.7073170731707317,0.6,0.7834928229665071,41
19,13,distance,euclidean,unused,6,53,53,0.5348837209302325,0.375,0.45670995670995673,43
19,13,distance,euclidean,unused,6,54,54,0.6410256410256411,0.6956521739130435,0.7989130434782609,39
19,13,distance,euclidean,unused,6,55,55,0.7333333333333333,0.6842105263157895,0.7885375494071147,45
19,13,distance,euclidean,unused,6,56,56,0.6590909090909091,0.5945945945945946,0.8057851239669422,44
19,13,distance,euclidean,unused,6,57,57,0.5555555555555556,0.5454545454545454,0.6825396825396826,45
19,13,distance,euclidean,unused,6,58,58,0.5111111111111111,0.42105263157894735,0.5376984126984127,45
19,13,distance,euclidean,unused,6,59,59,0.4,0.18181818181818182,0.43452380952380953,45
19,13,distance,euclidean,unused,6,60,60,0.7727272727272727,0.7619047619047619,0.9235537190082646,44
19,13,distance,euclidean,unused,6,61,61,0.6744186046511628,0.5625,0.761904761904762,43
19,13,distance,euclidean,unused,6,62,62,0.8222222222222222,0.7894736842105263,0.8517786561264823,45
19,13,distance,euclidean,unused,6,63,63,0.5581395348837209,0.2962962962962963,0.6212121212121212,43
19,13,distance,euclidean,unused,6,64,64,0.6888888888888889,0.6818181818181818,0.7509881422924901,45
19,13,distance,euclidean,unused,6,65,65,0.4888888888888889,0.3783783783783784,0.46031746031746024,45
19,13,distance,euclidean,unused,6,66,66,0.4222222222222222,0.43478260869565216,0.47430830039525695,45
19,13,distance,euclidean,unused,6,67,67,0.4888888888888889,0.08,0.5335968379446641,45
19,13,distance,euclidean,unused,6,68,68,0.4888888888888889,0.14814814814814814,0.5691699604743082,45
19,13,distance,euclidean,unused,6,69,69,0.6,0.5263157894736842,0.5734126984126984,45
19,13,distance,euclidean,unused,6,70,70,0.5777777777777777,0.5128205128205128,0.5573122529644269,45
19,13,distance,euclidean,unused,6,71,71,0.6222222222222222,0.41379310344827586,0.49999999999999994,45
19,13,distance,euclidean,unused,6,72,72,0.8444444444444444,0.8372093023255814,0.9466403162055336,45
19,13,distance,euclidean,unused,6,73,73,0.6222222222222222,0.48484848484848486,0.6996047430830039,45
19,13,distance,euclidean,unused,6,74,74,0.5777777777777777,0.5365853658536586,0.6329365079365079,45
19,13,distance,euclidean,unused,6,75,75,0.6097560975609756,0.6,0.6880952380952381,41
19,13,distance,euclidean,unused,6,76,76,0.4666666666666667,0.52,0.5237154150197629,45
19,13,distance,euclidean,unused,6,77,77,0.5333333333333333,0.631578947368421,0.5476190476190476,45
19,13,distance,euclidean,unused,6,78,78,0.6444444444444445,0.68,0.6007905138339922,45
19,13,distance,euclidean,unused,6,79,79,0.625,0.6153846153846154,0.6399999999999999,40
19,13,distance,euclidean,unused,6,80,80,0.5333333333333333,0.27586206896551724,0.5928853754940712,45
19,13,distance,euclidean,unused,6,81,81,0.4888888888888889,0.0,0.4881422924901186,45
19,13,distance,euclidean,unused,6,82,82,0.6222222222222222,0.711864406779661,0.6561264822134387,45
19,13,distance,euclidean,unused,6,83,83,0.5263157894736842,0.1,0.6094182825484764,38
19,13,distance,euclidean,unused,6,84,84,0.7045454545454546,0.6976744186046512,0.7101449275362318,44
19,13,distance,euclidean,unused,6,85,85,0.5909090909090909,0.6896551724137931,0.8488612836438924,44
19,13,distance,euclidean,unused,6,86,86,0.5909090909090909,0.5909090909090909,0.6376811594202898,44
19,13,distance,euclidean,unused,6,87,87,0.5111111111111111,0.6206896551724138,0.658102766798419,45
19,13,distance,euclidean,unused,6,88,88,0.5272727272727272,0.4090909090909091,0.5145502645502645,55
19,13,distance,euclidean,unused,6,89,89,0.6222222222222222,0.711864406779661,0.6468253968253967,45
19,13,distance,euclidean,unused,6,90,90,0.4444444444444444,0.4186046511627907,0.4229249011857707,45
19,13,distance,euclidean,unused,6,91,91,0.6363636363636364,0.7142857142857143,0.7128099173553719,44
19,13,distance,euclidean,unused,6,92,92,0.5892857142857143,0.4888888888888889,0.5153846153846153,56
19,13,distance,euclidean,unused,6,93,93,0.6444444444444445,0.68,0.7984189723320159,45
19,13,distance,euclidean,unused,6,94,94,0.8409090909090909,0.8679245283018868,0.9606625258799173,44
19,13,distance,euclidean,unused,6,95,95,0.4642857142857143,0.5945945945945946,0.5364583333333334,28
19,13,distance,euclidean,unused,6,96,96,0.40476190476190477,0.5614035087719298,0.5011337868480725,42
19,13,distance,euclidean,unused,6,97,97,0.5681818181818182,0.3870967741935484,0.5247933884297521,44
19,13,distance,euclidean,unused,6,98,98,0.5333333333333333,0.6440677966101694,0.5810276679841897,45
19,13,distance,euclidean,unused,6,99,99,0.5348837209302325,0.3333333333333333,0.5670995670995671,43
19,13,distance,euclidean,unused,6,100,100,0.5,0.5714285714285714,0.5555555555555556,36
19,13,distance,euclidean,unused,6,101,101,0.5333333333333333,0.2222222222222222,0.5335968379446641,45
19,13,distance,euclidean,unused,6,102,102,0.6222222222222222,0.6046511627906976,0.6699604743083004,45
19,13,distance,euclidean,unused,6,103,103,0.627906976744186,0.6363636363636364,0.7186147186147186,43
19,13,distance,euclidean,unused,6,104,104,0.4418604651162791,0.4782608695652174,0.47619047619047616,43
19,13,distance,euclidean,unused,6,105,105,0.4888888888888889,0.41025641025641024,0.43873517786561267,45
19,13,distance,euclidean,unused,6,106,106,0.6,0.55,0.5634920634920635,45
19,13,distance,euclidean,unused,6,107,107,0.4888888888888889,0.5106382978723404,0.4722222222222222,45
19,13,distance,euclidean,unused,6,108,108,0.7555555555555555,0.7027027027027027,0.7964426877470355,45
20,13,distance,euclidean,unused,6,1,1,0.5333333333333333,0.5882352941176471,0.47233201581027673,45
20,13,distance,euclidean,unused,6,2,2,0.6888888888888889,0.5625,0.8537549407114625,45
20,13,distance,euclidean,unused,6,3,3,0.37777777777777777,0.44,0.36363636363636365,45
